Date,City,Time of Day,Temperature (F),Precipitation Inches,Humidity Percentage,Wind Speed MPH,Weather Condition
4/12/2023 6:33:07 PM,New York,Morning,85.3,0.99,58,17.2,Sunny
4/13/2023 6:33:07 PM,New York,Morning,41.8,0.71,20,0.6,Rainy
4/14/2023 6:33:07 PM,New York,Morning,54.2,0.62,11,5.7,Sunny
4/15/2023 6:33:07 PM,New York,Morning,83.3,0.75,38,4.9,Cloudy
4/16/2023 6:33:07 PM,New York,Morning,96.8,1.22,64,0.1,Cloudy
4/17/2023 6:33:07 PM,New York,Morning,56,0.34,62,17.5,Rainy
4/18/2023 6:33:07 PM,New York,Morning,88.1,1.54,35,6.3,Snowy
4/19/2023 6:33:07 PM,New York,Morning,43.4,1.15,60,6.9,Cloudy
4/20/2023 6:33:07 PM,New York,Morning,86.5,0.54,87,2,Snowy
4/21/2023 6:33:07 PM,New York,Morning,76,1,15,19.8,Rainy
4/22/2023 6:33:07 PM,New York,Morning,43.5,1.93,21,16.5,Sunny
4/23/2023 6:33:07 PM,New York,Morning,51.2,0.04,43,11.4,Foggy
4/24/2023 6:33:07 PM,New York,Morning,39.2,0.4,79,15.4,Snowy
4/25/2023 6:33:07 PM,New York,Morning,56.8,0.9,73,15.5,Rainy
4/26/2023 6:33:07 PM,New York,Morning,44.3,1.28,46,13.1,Snowy
4/27/2023 6:33:07 PM,New York,Morning,75.1,0.42,46,3.5,Snowy
4/28/2023 6:33:07 PM,New York,Morning,99.6,1.86,17,14.4,Sunny
4/29/2023 6:33:07 PM,New York,Morning,30.8,1.29,46,11.4,Foggy
4/30/2023 6:33:07 PM,New York,Morning,67.9,1.75,55,14.5,Cloudy
5/1/2023 6:33:07 PM,New York,Morning,70.2,0.66,40,10.9,Snowy
5/2/2023 6:33:07 PM,New York,Morning,94,1.66,20,19.1,Windy
5/3/2023 6:33:07 PM,New York,Morning,65.4,0.76,45,12.5,Sunny
5/4/2023 6:33:07 PM,New York,Morning,68.1,0.51,77,11.5,Windy
5/5/2023 6:33:07 PM,New York,Morning,63,1.82,26,16.9,Sunny
5/6/2023 6:33:07 PM,New York,Morning,48.8,0.18,25,7.6,Sunny
