Date,Campaign ID,Platform,Daily Impressions,Daily Clicks,Daily Engagement,Daily Conversion Rate,Daily Spend
2023-04-12 02:40:18.906101,CMP001,YouTube,8434,1828,165,4.99,2841.0
2023-04-13 02:40:18.906101,CMP001,YouTube,10220,370,753,5.0,2755.5
2023-04-14 02:40:18.906101,CMP001,YouTube,2678,1670,1389,5.0,2323.5
2023-04-15 02:40:18.906101,CMP001,YouTube,15048,248,249,3.1399999999999997,1747.5
2023-04-16 02:40:18.906101,CMP001,YouTube,7474,1232,948,4.24,1236.0
2023-04-17 02:40:18.906101,CMP001,YouTube,2060,974,1155,2.6,759.0
2023-04-18 02:40:18.906101,CMP001,YouTube,13934,346,654,4.75,658.5
2023-04-19 02:40:18.906101,CMP001,YouTube,8852,1618,654,4.13,2989.5
2023-04-20 02:40:18.906101,CMP001,YouTube,7444,1774,1422,2.45,2385.0
2023-04-21 02:40:18.906101,CMP001,YouTube,4718,580,387,4.98,2592.0
2023-04-22 02:40:18.906101,CMP001,YouTube,19772,1688,849,5.0,1098.0
2023-04-23 02:40:18.906101,CMP001,YouTube,15390,1158,948,5.0,2052.0
2023-04-24 02:40:18.906101,CMP001,YouTube,6836,640,438,3.5300000000000002,913.5
2023-04-25 02:40:18.906101,CMP001,YouTube,11004,886,1404,2.21,483.0
2023-04-26 02:40:18.906101,CMP001,YouTube,19774,1336,330,4.68,1503.0
2023-04-27 02:40:18.906101,CMP001,YouTube,13678,392,993,5.0,2173.5
2023-04-28 02:40:18.906101,CMP001,YouTube,13898,1692,699,5.0,2374.5
2023-04-29 02:40:18.906101,CMP001,YouTube,10302,1310,843,2.93,2706.0
2023-04-30 02:40:18.906101,CMP001,YouTube,6520,1114,300,5.0,1929.0
2023-05-01 02:40:18.906101,CMP001,YouTube,9553,951,457,0.89,1092
2023-05-02 02:40:18.906101,CMP001,YouTube,7418,362,217,3.03,298
2023-05-03 02:40:18.906101,CMP001,YouTube,7402,643,490,4.09,640
2023-05-04 02:40:18.906101,CMP001,YouTube,6451,204,431,4.5,1036
2023-05-05 02:40:18.906101,CMP001,YouTube,9642,838,469,1.57,1975
2023-05-06 02:40:18.906101,CMP001,YouTube,1204,109,245,1.54,220
